ts	tag	url	leader	alerts_processed	sink_q	sink_drops	verdict_n	v_p50	v_p95	v_p99	notify_n	n_p50	n_p95	n_p99	pg_conn	redis_alert_kb	redis_cache_kb	sse
1789186954.920274900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186965.475722700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186975.965818200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186985.732168300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186995.489142900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789187005.317144500	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789187015.069028800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789187024.864265600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789187034.641399800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789187044.467347900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	19	1147472	1011720	NA
1789187054.203325700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789187063.898381400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789187073.437242000	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1147472	1011720	NA
1789187082.939500500	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1147472	1011720	NA
